time_s,L_mp_um,front_ahead_of_laser_um,tail_behind_laser_um,L_all_um,laser_z_mm,front_clipped,tail_clipped,in_steady_window
0.0001,355.6027659215033,61.929802037775666,293.6729638837276,488.01227239891887,1.0999999999999999,0,0,0
0.000104,354.1912301443517,62.90019007772207,291.29104006662965,367.93266190215945,1.124,0,0,0
0.000108,344.7927301749587,60.911882713437365,283.88084746152134,412.84278267994523,1.1479999999999997,0,0,0
0.000112,398.70920591056347,61.53942763060345,337.16977827996004,398.70920591056347,1.172,0,0,0
0.000116,459.838833194226,61.20608048141001,398.632752712816,459.838833194226,1.196,0,0,0
0.00012,501.89794274047017,61.35457634925847,440.5433663912117,501.89794274047017,1.22,0,0,0
0.000124,445.4258014447987,61.87781313806784,383.5479883067309,581.2419694848359,1.2439999999999998,0,0,0
0.000128,465.5265365727246,61.50581610202808,404.0207204706965,531.140249222517,1.2679999999999998,0,0,0
0.000132,466.71455493196845,61.805069811642205,404.9094851203262,544.1345274448395,1.292,0,0,0
0.000136,478.1147581525147,61.27602850645791,416.8387296460568,545.417598914355,1.3159999999999998,0,0,0
0.00014,439.31789696216583,61.03662852197881,378.28126844018703,495.29102398082614,1.34,0,0,0
0.000144,482.8128148801625,60.90619327873016,421.90662160143233,482.8128148801625,1.3639999999999997,0,0,0
0.000148,472.22222201526165,62.743991881609055,409.4782301336526,557.1939400397241,1.388,0,0,0
0.000152,501.273840200156,65.30950266122812,435.96433753892785,632.8636663965881,1.4120000000000001,0,0,0
0.000156,435.3928379714489,70.4850449562075,364.9077930152414,510.6390453875065,1.4359999999999997,0,0,0
0.00016,489.215599372983,62.348145954310965,426.867453418672,489.215599372983,1.46,0,0,0
0.000164,522.4555497989058,58.66937170177712,463.78617809712875,522.4555497989058,1.4839999999999998,0,0,0
0.000168,476.05892177671194,59.92905181646368,416.12986996024824,574.8413968831301,1.5079999999999998,0,0,0
0.000172,411.287066526711,59.30548126995569,351.9815852567553,473.6128030344844,1.532,0,0,0
0.000176,414.92178570479155,61.23024211823953,353.69154358655203,414.92178570479155,1.5559999999999998,0,0,0
0.00018,463.0008479580283,59.952533878386,403.0483140796423,463.0008479580283,1.58,0,0,0
0.000184,417.34729893505573,60.47507217526462,356.8722267597911,511.0177444294095,1.6039999999999996,0,0,0
0.000188,406.1654908582568,60.83102014660846,345.33447071164835,590.5880825594068,1.628,0,0,0
0.000192,401.83484088629484,60.57043257355708,341.26440831273777,438.83221223950386,1.652,0,0,0
0.000196,447.91027903556824,59.42252741754079,388.48775161802746,505.31409215182066,1.6759999999999997,0,0,0
0.0002,389.42345418035984,60.963117703795525,328.4603364765643,483.4240535274148,1.7,0,0,1
0.000204,434.1424209997058,62.59136872738616,371.5510522723196,561.4070687443018,1.7239999999999998,0,0,1
0.000208,424.323370680213,64.17456702142977,360.1488036587832,541.3558101281524,1.7479999999999998,0,0,1
0.000212,353.6918666213751,64.97941247373828,288.71245414763683,521.2975665926933,1.772,0,0,1
0.000216,381.32595364004374,63.855139628053074,317.4708140119907,401.8355393782258,1.7959999999999996,0,0,1
0.00022,344.02497112751007,60.6353909894824,283.38958013802767,453.82895041257143,1.82,0,0,1
0.000224,389.87386506050825,62.37120977044134,327.5026552900669,520.6225905567408,1.8439999999999996,0,0,1
0.000228,400.2004861831665,59.953562699258455,340.24692348390806,580.216059461236,1.8679999999999999,0,0,1
0.000232,351.21291875839233,61.640952706337174,289.5719660520552,432.71295726299286,1.892,0,0,1
0.000236,345.3351091593504,61.15498507022884,284.18012408912153,503.63154150545597,1.9159999999999997,0,0,1
0.00024,417.77011938393116,61.18171051144611,356.58840887248505,532.5399106368423,1.94,0,0,1
0.000244,370.7896685227752,60.94114637374918,309.848522149026,460.1931432262063,1.9639999999999995,0,0,1
0.000248,448.36022425442934,58.64748162031155,389.7127426341178,448.36022425442934,1.9880000000000002,0,0,1
0.000252,434.8939983174205,59.24883309006701,375.64516522735346,518.9895164221525,2.012,0,0,1
0.000256,379.8999823629856,59.57777270674744,320.32220965623816,453.4272011369467,2.0359999999999996,0,0,1
0.00026,372.69224412739277,60.36492303013825,312.3273210972545,451.0453436523676,2.0599999999999996,0,0,1
0.000264,390.90507198125124,60.05637234449395,330.8486996367573,489.72119111567736,2.084,0,0,1
0.000268,407.83232543617487,59.697530239820416,348.13479519635445,485.7166204601526,2.108,0,0,1
0.000272,481.1916733160615,59.797131672501784,421.3945416435597,481.1916733160615,2.1319999999999997,0,0,1
0.000276,420.7314923405647,59.719548985362124,361.0119433552026,420.7314923405647,2.156,0,0,1
0.00028,379.1889175772667,60.658970549703,318.5299470275637,493.65381710231304,2.1799999999999997,0,0,1
0.000284,437.37119995057583,61.21492004394552,376.1562799066303,437.37119995057583,2.2039999999999997,0,0,1
0.000288,364.648993127048,62.241187438368854,302.40780568867916,449.4467284530401,2.2279999999999998,0,0,1
0.000292,434.37222484499216,62.144279807806356,372.2279450371858,530.4832011461258,2.252,0,0,1
0.000296,468.0395359173417,63.03550542891088,405.00403048843083,614.2692873254418,2.2759999999999994,0,0,1
0.0003,435.4320699349046,63.11089247465181,372.3211774602528,494.71063539385796,2.2999999999999994,0,0,1
0.000304,437.9026358947158,63.771615758538566,374.1310201361772,527.9012257233262,2.324,0,0,1
0.000308,451.16408728063107,63.56318224966543,387.60090503096563,451.16408728063107,2.348,0,0,1
0.000312,428.43446135520935,62.49676781892822,365.93769353628113,519.8412109166384,2.3719999999999994,0,0,1
0.000316,392.2844771295786,61.17121288180382,331.1132642477748,485.6395535171032,2.396,0,0,1
0.00032,448.2732620090246,61.86755925416962,386.405702754855,448.2732620090246,2.42,0,0,1
0.000324,363.391125574708,61.464712157845504,301.9264134168625,520.855188369751,2.444,0,0,1
0.000328,425.5517851561308,61.91379238665133,363.63799276947947,568.5631185770035,2.4679999999999995,0,0,1
0.000332,436.6349894553423,61.223399445414685,375.4115900099276,436.6349894553423,2.492,0,0,1
0.000336,396.4225761592388,61.438019216061065,334.9845569431777,461.3124765455723,2.5159999999999996,0,0,1
0.00034,492.28454008698463,63.42215187847642,428.8623882085082,567.9021123796701,2.5399999999999996,0,0,1
0.000344,500.96726045012474,65.87543828785432,435.09182216227043,555.03542535007,2.564,0,0,1
0.000348,379.9570258706808,67.16061335802075,312.79641251266,563.3961409330368,2.588,0,0,1
0.000352,423.7790126353502,63.05319789052036,360.72581474482985,579.2903248220682,2.6119999999999997,0,0,1
0.000356,412.3845137655735,62.82869906723554,349.55581469833794,634.4197317957878,2.6359999999999992,0,0,1
0.00036,416.911905631423,57.111492529511416,359.8004131019116,416.911905631423,2.66,0,0,1
0.000364,449.13217425346375,53.70256899297262,395.42960526049114,449.13217425346375,2.6839999999999997,0,0,1
0.000368,362.50799894332886,51.416820481420096,311.0911784619088,446.69676572084427,2.7079999999999993,0,0,1
0.000372,435.7683937996626,49.824208796024706,385.94418500363787,435.7683937996626,2.7319999999999998,0,0,1
0.000376,411.30464524030685,49.32194301486038,361.9827022254465,411.30464524030685,2.756,0,0,1
0.00038,396.96507155895233,49.12212423980244,347.8429473191499,396.96507155895233,2.78,0,0,1
0.000384,374.792143702507,49.372134268284206,325.42000943422283,478.3866461366415,2.804,0,0,1
0.000388,345.86573019623756,49.62563675642035,296.2400934398172,553.8982804864645,2.828,0,0,1
0.000392,355.8632452040911,49.50381624698689,306.35942895710417,533.7332841008902,2.8519999999999994,0,0,1
0.000396,377.30950862169266,49.53962208330666,327.769886538386,377.30950862169266,2.8759999999999994,0,0,1
0.0004,359.4905138015747,48.98124411702176,310.5092696845529,423.07539843022823,2.9,0,0,1

# T_m_K,925.0
# Tsolidus_K,855.0
# Tliquidus_K,925.0
# depth_min_um,0.0
# depth_max_um,
# z_ahead_um,
# z_behind_um,
# steady_window_start_s,0.0002
# L_mp_mean_um,406.5297498349466
# L_mp_std_um,39.00797374645481
# L_all_mean_um,490.30576951290465
# L_all_std_um,58.71566172203571
