time_s,h_mp_um,d_vd_um,laser_z_mm,in_steady_window
9.74420577e-05,152.6429063640535,140.88967368006706,1.0846523462,0
0.0001014420577,153.99451735429466,143.182502547279,1.1086523462,0
0.0001054420577,155.64202698878944,147.53233194351196,1.1326523462,0
0.0001094420577,161.3943699747324,151.39979445375502,1.1566523461999998,0
0.0001134420577,165.16805994324386,154.15441379882395,1.1806523462,0
0.0001174420577,168.83738357573748,159.23279938288033,1.2046523461999998,0
0.0001214420577,170.91612466610968,162.06093500368297,1.2286523461999999,0
0.0001254420577,173.94120590761304,164.00515818968415,1.2526523462,0
0.0001294420577,174.11792436614633,164.96331449598074,1.2766523462000001,0
0.0001334420577,174.61737520061433,163.20285289548337,1.3006523462,0
0.0001374420577,173.60982969403267,164.3145610112697,1.3246523461999997,0
0.0001414420577,173.81055881269276,164.7816483862698,1.3486523462,0
0.0001454420577,174.83513006009161,163.92119363881648,1.3726523462,0
0.0001494420577,174.38308936543763,168.66532173007727,1.3966523462,0
0.0001534420577,173.6333455890417,167.9063229355961,1.4206523461999998,0
0.0001574420577,173.3020566869527,162.02490446157753,1.4446523461999998,0
0.0001614420577,174.42203029058874,168.15492785535753,1.4686523461999998,0
0.0001654420577,174.81801700778306,165.32134981825948,1.4926523461999999,0
0.0001694420577,175.12462586164474,164.8382844403386,1.5166523462,0
0.0001734420577,174.36795537360013,167.64127435162663,1.5406523462,0
0.0001774420577,174.9928146135062,165.87496288120747,1.5646523462,0
0.0001814420577,174.98015444725752,164.46898593567312,1.5886523462,0
0.0001854420577,173.54708183556795,165.89789669960737,1.6126523461999998,0
0.0001894420577,175.26022060774267,166.89164699055254,1.6366523461999998,0
0.0001934420577,174.18876308947802,165.59614818543196,1.6606523461999998,0
0.0001974420577,175.2427001018077,164.87288889475167,1.6846523461999998,0
0.0002014420577,174.28285577334464,164.84267911873758,1.7086523461999996,0
0.0002054420577,174.2984845302999,167.34560853801668,1.7326523462,0
0.0002094420577,174.47287468239665,166.2944072857499,1.7566523461999997,0
0.0002134420577,173.53619700297713,164.49439357966185,1.7806523462,0
0.0002174420577,174.3931301869452,165.91337993741035,1.8046523461999997,0
0.0002214420577,173.7584047485143,165.61736487783492,1.8286523461999997,0
0.0002254420577,174.60163002833724,162.0364295784384,1.8526523462,0
0.0002294420577,174.17435669340193,166.37615994550288,1.8766523461999998,0
0.0002334420577,173.0500175151974,164.99599809758365,1.9006523462,0
0.0002374420577,173.95863910205662,166.1484515760094,1.9246523461999998,0
0.0002414420577,172.71212204359472,163.352766726166,1.9486523461999998,0
0.0002454420577,173.99743450805545,164.97035762295127,1.9726523462,0
0.0002494420577,172.45493149384856,164.17655064724386,1.9966523461999999,1
0.0002534420577,172.95056972652674,165.93011463992298,2.0206523461999994,1
0.0002574420577,174.19478758238256,163.42456587590277,2.0446523462,1
0.0002614420577,174.49985393323004,167.75728221982718,2.0686523462,1
0.0002654420577,174.18660940602422,166.0137881524861,2.0926523461999995,1
0.0002694420577,174.8590825125575,166.4661489892751,2.1166523462,1
0.0002734420577,173.81896981969476,167.57715861313045,2.1406523462,1
0.0002774420577,174.1392574738711,164.73211366683245,2.1646523461999996,1
0.0002814420577,174.47339855134487,165.33703678287566,2.1886523461999996,1
0.0002854420577,173.8342202268541,164.72457577474415,2.2126523462,1
0.0002894420577,173.45683085732162,166.69641849584877,2.2366523461999996,1
0.0002934420577,173.28895996324718,163.743252819404,2.260652346199999,1
0.0002974420577,175.48356340266764,165.45112379826605,2.2846523462,1
0.0003014420577,175.81112701445818,166.55348958447576,2.3086523461999997,1
0.0003054420577,174.65334753505886,164.2231458798051,2.3326523461999993,1
0.0003094420577,174.82756306417286,164.13013003766537,2.3566523461999997,1
0.0003134420577,174.53894037753344,163.98216616362333,2.3806523461999998,1
0.0003174420577,174.1882392205298,165.8414352685213,2.4046523462000002,1
0.0003214420577,173.4169586095959,164.86083990894258,2.4286523462,1
0.0003254420577,173.3932098839432,165.71623058989644,2.4526523462,1
0.0003294420577,174.6362344827503,162.50040284357965,2.4766523462,1
0.0003334420577,173.84123424999416,164.5440738182515,2.5006523461999994,1
0.0003374420577,174.61912143044174,165.07166805677116,2.5246523462,1
0.0003383006742,174.91117836907506,165.17734406515956,2.5298040452,1
0.0003423006742,175.9145038202405,166.11748510040343,2.5538040451999997,1
0.0003463006742,175.8306847885251,167.33062006533146,2.5778040451999997,1
0.0003503006742,175.9036771953106,166.12051189877093,2.6018040451999997,1
0.0003543006742,174.56804420799017,164.9918653536588,2.6258040451999998,1
0.0003583006742,175.3865894395858,166.50727270171046,2.6498040451999993,1
0.0003623006742,174.34519617818296,163.4726454038173,2.6738040452,1
0.0003663006742,174.09499054774642,163.83597762323916,2.6978040452,1
0.0003703006742,175.0496543943882,164.58740942180157,2.7218040451999994,1
0.0003743006742,175.6884834729135,167.2571328934282,2.7458040452,1
0.0003783006742,175.61031058430672,164.2592637334019,2.7698040452,1
0.0003823006742,174.6945585589856,166.87104147858918,2.7938040451999995,1
0.0003863006742,174.31460805237293,165.5318869277835,2.8178040451999995,1
0.0003903006742,172.72830377332866,162.9927523434162,2.8418040451999995,1
0.0003943006742,172.1774264704436,162.92668664827943,2.8658040452,1
0.0003983006742,172.21150705590844,164.5473043434322,2.8898040451999996,1

# T_m_K,925.0
# Tsolidus_K,855.0
# Tliquidus_K,925.0
# steady_window_start_s,0.00024787136595
# h_mp_mean_um,174.3332494289065
# h_mp_std_um,0.9983573736057875
# d_vd_mean_um,165.17899775973115
# d_vd_std_um,1.3367322942216557
