case,T0_K,h_mp_mean_um,h_mp_std_um,d_vd_mean_um,d_vd_std_um,diff_mean_um,diff_std_um,T_m_K,Tsolidus_K,Tliquidus_K,steady_window_start_s
testrun75_vdep_3_Al,100,154.32876286316005,1.1029771183148567,147.1598479960698,1.6485902057314827,7.168914867090244,1.1531536767566588,925.0,855.0,925.0,0.0002
testrun78_vdep_3_Al,200,165.51835821192785,1.7019997539096487,156.50182832671584,2.113113450765424,9.016529885211996,1.7431628322412192,925.0,855.0,925.0,0.0002
testrun69_vdep_3_Al,300,174.23986028514656,0.929314189382998,165.18370410810937,1.3474643946753084,9.056156177037195,1.3262453598912245,925.0,855.0,925.0,0.0002
